n,comparacoes,trocas
10,45,7
20,190,18
30,435,25
40,780,37
50,1225,46
60,1770,56
70,2415,65
80,3160,78
90,4005,86
100,4950,94
110,5995,104
120,7140,112
130,8385,127
140,9730,137
150,11175,145
160,12720,159
170,14365,166
180,16110,175
190,17955,186
200,19900,193
210,21945,208
220,24090,218
230,26335,228
240,28680,236
250,31125,246
260,33670,256
270,36315,264
280,39060,276
290,41905,284
300,44850,295
310,47895,305
320,51040,318
330,54285,322
340,57630,334
350,61075,344
360,64620,354
370,68265,366
380,72010,375
390,75855,385
400,79800,393
410,83845,404
420,87990,412
430,92235,426
440,96580,432
450,101025,448
460,105570,455
470,110215,466
480,114960,478
490,119805,485
500,124750,496
510,129795,504
520,134940,514
530,140185,520
540,145530,530
550,150975,543
560,156520,557
570,162165,562
580,167910,571
590,173755,584
600,179700,596
610,185745,603
620,191890,619
630,198135,626
640,204480,637
650,210925,645
660,217470,649
670,224115,664
680,230860,675
690,237705,683
700,244650,696
710,251695,702
720,258840,714
730,266085,726
740,273430,737
750,280875,747
760,288420,753
770,296065,766
780,303810,772
790,311655,786
800,319600,794
810,327645,802
820,335790,814
830,344035,826
840,352380,835
850,360825,846
860,369370,855
870,378015,867
880,386760,874
890,395605,885
900,404550,892
910,413595,906
920,422740,914
930,431985,928
940,441330,932
950,450775,943
960,460320,956
970,469965,966
980,479710,975
990,489555,984
1000,499500,988
